Vg, I
1.16116116116,0.00029
1.16616616617,0.0003
1.17117117117,0.0003
1.17617617618,0.00031
1.18118118118,0.00031
1.18618618619,0.00032
1.19119119119,0.00032
1.1961961962,0.00033
1.2012012012,0.00033
1.20620620621,0.00034
1.21121121121,0.00034
1.21621621622,0.00034
1.22122122122,0.00035
1.22622622623,0.00036
1.23123123123,0.00036
1.23623623624,0.00037
1.24124124124,0.00037
1.24624624625,0.00038
1.25125125125,0.00038
1.25625625626,0.00039
1.26126126126,0.00039
1.26626626627,0.0004
1.27127127127,0.0004
1.27627627628,0.00041
1.28128128128,0.00042
1.28628628629,0.00042
1.29129129129,0.00043
1.2962962963,0.00043
1.3013013013,0.00044
1.30630630631,0.00044
1.31131131131,0.00045
1.31631631632,0.00045
1.32132132132,0.00046
